tree_code,biosample,run,experiment,voucher_and_herbarium,region_class,geographic_location,sra_link_status,scope_class,tree_code_vs_sra_name,name_reconciliation_priority
Cirsium richterianum,SAMN44017906,SRR30887141,SRX26291456,"Spain, Huesca: Place called ""Gabardito"", near the shepherds' hut, 1250 m. Montserrat P., 169577, 30-8-1977 (MA498048)",Outside_target_region,Spain,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium rigidum,SAMN44017907,SRR30887140,SRX26291457,"Turkey: Artvin, Ardanuç, 520 m, 27.06.2008, Dirmenci, TD-3621",Outside_target_region,Turkey,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium rivulare,SAMN44017908,SRR30887139,SRX26291458,"FRANÇA. Alpes-Maritimes. Entraunes. Ctra. de St. Martin d'Entraunes al Col de la Cayolle.29/08/1998, T. Garnatje & J. Luque GR-30 (BC871033)",Outside_target_region,France,linked_runinfo,outside_scope,exact,low
Cirsium rosulatum,SAMN44017909,SRR30887142,SRX26291459,MA462276,Other_or_unresolved,Unknown,linked_runinfo,outside_scope,exact,low
Cirsium sairamense,SAMN34240330,SRR25265647,SRX21011571,"Tadjikistan, Maijora, Susanna 2468 (BC).",Outside_target_region,Tajikistan: Maijora,linked_runinfo,outside_scope,exact,low
Cirsium scabrum,SAMN44017910,SRR30887315,SRX26291283,"Tunisia, Gouvernorat de Jendouba: Kroumirie, road P 17 between Ain Draham and Tabarka. Vogt E., Oberprieler Ch. 13714, 20-05-1994 (MA586846)",Other_or_unresolved,Tunisia,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium scariosum,SAMN44017911,SRR30887313,SRX26291284,"U.S.A.: Montana, 11.08.2016, J Ackerfield 16-122 (CS)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium komarovii subsp. schischkinii,SAMN34240335,SRR25265640,SRX21011577,"Russia, Tuva, 07.12.1988, Shaulo D., Tyrtyk-Ool A., Bazyr V. (MW0150524)",Russian_Inner_NE_Asia,Russia: Tuva,linked_runinfo,northeast_asia_bridge,exact,low
Cirsium scopulorum 1,SAMN44017912,SRR30887312,SRX26291285,"U.S.A.: Colorado, 25.07.2017, J Ackerfield 6035 (CS)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium scopulorum,SAMN44017913,SRR30887311,SRX26291286,"U.S.A.: Colorado, 18.07.2018, Ackerfield 6514 (CS)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium semenowii,SAMN44017914,SRR30887314,SRX26291287,"Central Asia and Kazakhstan, Northern and Central Tien Shan, 07.22.1967, Gubanov I.A. (MW0889973)",Other_or_unresolved,Kazakhstan,linked_runinfo,outside_scope,exact,low
Cirsium semzinanicum,SAMN44017915,SRR30887310,SRX26291288,"Turkey: Hakkari: 40 km from Şemdinli to Derecik, 1722 m, 03.08.2018, Dirmenci & Yıldız, TD-5133",Outside_target_region,Turkey,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium serratuloides,SAMN34240336,SRR25265643,SRX21011578,"Republic of Buryatia, Mukhorshibirsky district. Abramova L., Volkova P., Zakharchenko,D., Borisova P., 27-7-2013. (MW0150495)",Russian_Inner_NE_Asia,Russia: Mukhorshibirsky district,linked_runinfo,northeast_asia_bridge,exact,low
Cirsium serrulatum,SAMN34240337,SRR25265680,SRX21011537,"Russia, Belgorod region, 07.08.1995, Tikhomirov V. N., Khoroshavina A. S., Zolkin S.Yu (MW0409966)",Russia_other,Russia: Belgorod region,linked_runinfo,outside_scope,different_submitted_or_published_name,high
