tree_code,biosample,run,experiment,voucher_and_herbarium,region_class,geographic_location,sra_link_status,scope_class,tree_code_vs_sra_name,name_reconciliation_priority
Cirsium sosnowskyi,SAMN34240342,SRR25265673,SRX21011543,"Russia, North Ossetia, 19.08.1986, Komzha A.L., Alipova O.D., Efimova N.V., Masneva O.A. (MW0730971)",Russia_other,Russia: North Ossetia,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium spathulatum,SAMN44017922,SRR30887302,SRX26291296,Romania (MW0794348),Outside_target_region,Romania,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium spectabile,SAMN44017923,SRR30887301,SRX26291297,"Iran, Isfahan: Khomeini-Shahr. Parishani M. R. s.n., 08-05-2003 (MA749014)",Outside_target_region,Iran,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium spicatum,SAMN44017924,SRR30887300,SRX26291298,"Japan. SHIKOKU: Kochi Pref.; Omodani, Shimagawa, Yusuhara-cho, Takaoka-gun., 132°53′;33°28′, 950 m, 25 Sep. 2005, S. Kobayashi FOK-074366 (MBK-0129300)",Japan,Japan: SHIKOKU,linked_runinfo,core_east_asia,exact,low
Cirsium spinosissimum,SAMN44017925,SRR30887299,SRX26291299,"Austria: Salburg, Kaprum dam, 2100 m, Salburg Botanical Garden 83 9/07M (HB SLZ124 Cod.S.2600)",Outside_target_region,Austria,linked_runinfo,outside_scope,exact,low
Cirsium steirolepis,SAMN34240343,SRR25265676,SRX21011544,"Turkey, Çanakkale, near Ayvacık, 19.08.2018, Dirmenci, TD-5169",Outside_target_region,Turkey: anakkale,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium strigosum,SAMN34240345,SRR25265671,SRX21011546,"Iran, Khorassan, 08.12.2004, Mozaffarian 87075 (TARI).",Outside_target_region,Iran: Khorassan,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium subcoriaceum,SAMN44017926,SRR30887297,SRX26291300,MA540295,Other_or_unresolved,Unknown,linked_runinfo,outside_scope,exact,low
Cirsium subinerme,SAMN44017927,SRR30887296,SRX26291301,"Turkey: Kahramanmaraş, 10 km from Göksun to Kahramanmaraş, 1450 m, 02.09.2006, Yıldız & Dirmenci, BY-16428",Outside_target_region,Turkey,linked_runinfo,outside_scope,exact,low
Cirsium subulariforme,SAMN44017928,SRR30887295,SRX26291302,"China: Tibet, 13.07.1980, Ni Zhicheng, Wang Yongze, Ciduo, Cidan 0628 (PE00457336)",China,China,linked_runinfo,core_east_asia,different_submitted_or_published_name,high
Cirsium suzukaense,SAMN44017929,SRR30887298,SRX26291303,"Japan. Honshu: Mie Pref., Suzuka Mountains, Ishigure-toge, Daian-cho, Inabe-gun., 136°26'30'';35°06'30'', 670 m, 22 Sep. 2007, S. Fujii12905",Japan,Japan: Honshu,linked_runinfo,core_east_asia,exact,low
Cirsium svaneticum,SAMN44017930,SRR30887293,SRX26291305,"Caucasus: Stavropol Territory, Karachay-Cherkessia, Kabardino-Balkaria, 19.07.2014, Zernov A.S. (MW0730973)",Russia_other,Russia,linked_runinfo,outside_scope,exact,low
Cirsium sychnosanthum,SAMN44017931,SRR30887292,SRX26291306,"Caucasus: Stavropol Territory, Karachay-Cherkessia, Kabardino-Balkaria, 08.07.2008, Zernov A.S., Oniochenko V.G., 7017 (MW0730980)",Russia_other,Russia,linked_runinfo,outside_scope,exact,low
Cirsium tanakae,SAMN44017932,SRR30887291,SRX26291307,"Tokyo Metropolitan Medicinal Plants Garden 401, 2002 (TOKMM Cod.S 1903)",Japan,Japan,linked_runinfo,core_east_asia,exact,low
Cirsium tenoreanum,SAMN44017933,SRR30887290,SRX26291308,"Italy: Abruzzo; Aprutii, Majella, 1200 m, 20.08.1906, G. Rigo (L.3697192)",Outside_target_region,Italy,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium shihianum,SAMN34240346,SRR25265670,SRX21011547,"China, Xinjiang Uygur Autonomous Region, 1974, Lin Yourun 74-1237 (PE) (PE 00457341)",China,China: Xinjiang Uygur Autonomous Region,linked_runinfo,core_east_asia,exact,low
Cirsium texanum,SAMN44017934,SRR30887289,SRX26291309,"U.S.A.: Texas, 10.06.2016, M B Best 346 (CS)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium tioganum,SAMN34240347,SRR25265669,SRX21011548,"U.S.A., Colorado, 07.23.2016, J Ackerfield 16-102 (CS)",Outside_target_region,USA: Colorado,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium isophyllum,SAMN44017935,SRR30887288,SRX26291310,"Turkey: B9 Van: 30 km from Başkale to Van, south of Çuh pass, 2657 m, 03.08.2018, TD-514, Dirmenci & Yıldız",Outside_target_region,Turkey,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium abukumense,SAMN44017936,SRR30887236,SRX26291430,"Japan. Honshu: Miyagi Pre.; Furuta, Hippo, Marumori-cho, Igu-gun, 372 m., Yuki Ueno & Kazumi Fujikawa 210074, 27-09-2021",Japan,Japan: Honshu,linked_runinfo,core_east_asia,exact,low
Cirsium abukumense,SAMN44017936,SRR30887287,SRX26291311,"Japan. Honshu: Miyagi Pre.; Furuta, Hippo, Marumori-cho, Igu-gun, 372 m., Yuki Ueno & Kazumi Fujikawa 210074, 27-09-2021",Japan,Japan: Honshu,linked_runinfo,core_east_asia,exact,low
Cirsium tonense,SAMN44017937,SRR30887286,SRX26291312,"Japan. Honshu: Miyagi Pre.; Ogaya, Shichikashuku-machi, Karita-gun, 422 m. Yuki Ueno & Kazumi Fujikawa 210052, 28-09-2021",Japan,Japan: Honshu,linked_runinfo,core_east_asia,different_submitted_or_published_name,high
Cirsium trachylepis,SAMN44017938,SRR30887285,SRX26291313,"Turkey: Sivas: Hafik, between Pusat and Ekingölü villages, 1400-1500 m, 21.07.2009, Yıldız & Tekin & Akpulat, BY-17052",Outside_target_region,Turkey,linked_runinfo,outside_scope,generic_reassignment_only,medium
