tree_code,biosample,run,experiment,voucher_and_herbarium,region_class,geographic_location,sra_link_status,scope_class,tree_code_vs_sra_name,name_reconciliation_priority
Cirsium odontolepis 2,SAMN44017973,SRR30887203,SRX26291394,"ESP (Lleida): Pla de Busa, 31T 3875 46615, 25/08/2017, C. Burguera CBU477 (Projecte Mil Flors; 971311)",Outside_target_region,Spain,linked_runinfo,outside_scope,exact,low
Cirsium erisithales,SAMN44017845,SRR30887186,SRX26291411,"Austria, Carinthia: Dolomites, 630-800 m, sine col., sine dat. (Innsbruck Botanical Garden)",Outside_target_region,Austria,linked_runinfo,outside_scope,exact,low
Cirsium erytrolepis,SAMN34240293,SRR25265706,SRX21011510,"Russia, SO ASSR, 08.31.1976, A. Amirkhanov (MW0730738)",Russia_other,Russia: SO ASSR,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium esculentum,SAMN44017846,SRR30887185,SRX26291412,"Armenia, Geghark'unik', 26.07.1984, Vasak V, Iter Caucasicum secundum 1984 s.n (W0154055)",Other_or_unresolved,Armenia,linked_runinfo,outside_scope,exact,low
Cirsium fanjingshanense,SAMN34240294,SRR25265705,SRX21011511,"China, Guizhou Province, 08.10.2020, Tiangang Gao GTG-10999. (GTG10999)",China,China: Guizhou Province,linked_runinfo,core_east_asia,exact,low
Cirsium fargesii,SAMN44017847,SRR30887183,SRX26291413,"China: Hubei province, 23.08.1973, E-Shennongjia Team, 22640 (PE01039705)",China,China,linked_runinfo,core_east_asia,exact,low
Cirsium ferox,SAMN44017848,SRR30887182,SRX26291414,"Spain: Huesca, La Puebla de Roda, between El Chordal and Merli, 1300-1550 m, 31.07.1987, G. Montserrat G.3774.87 (JACA18 09 73)",Outside_target_region,Spain,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium pyrenaicum,SAMN34240295,SRR25265704,SRX21011512,"Spain, Sierra Nevada, 08.1961, N.C. Meijer Drees 0154 (WAG.1322708)",Outside_target_region,Spain: Sierra Nevada,linked_runinfo,outside_scope,exact,low
Cirsium flodmanii,SAMN44017849,SRR30887180,SRX26291416,"U.S.A.: Colorado, 07.08.2012, J McAleer 430a (CS)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium fontinale var. campylon,SAMN34240296,SRR25265707,SRX21011513,"U.S.A., California, 08.11.1998, D Keil 27922 (OBI)",Outside_target_region,USA: California,linked_runinfo,outside_scope,exact,low
Cirsium rhizocephalum subsp. frickii,SAMN44017966,SRR30887211,SRX26291386,"Turkey: Ardahan: Çıldır, north of Çıldır lake, 2000 m, 23.08.2010, Yıldız & Dirmenci, BY-17154",Outside_target_region,Turkey,linked_runinfo,outside_scope,exact,low
Cirsium funagataense,SAMN44017850,SRR30887179,SRX26291417,"Japan. Honshu: Miyagi Pre.; Hatasaka camp site, on foot of Mt. Funagata-yama, Masuzawa, Tiwa-cho, Kurokawa-gun, 582 m. Yuki Ueno & Kazumi Fujikawa 210034, 27-09-2021",Japan,Japan: Honshu,linked_runinfo,core_east_asia,exact,low
Cirsium furiens,SAMN44017967,SRR30887210,SRX26291387,"Romania, Cluj, Transsylvania, 23.07.1963, Rechinger K.H. Iter Romanicum 1963 26131 (W0154056)",Outside_target_region,Romania,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium gaditanum,SAMN44017968,SRR30887209,SRX26291388,MA-01-00138744,Other_or_unresolved,Unknown,linked_runinfo,outside_scope,exact,low
Cirsium gagnidzei,SAMN44017851,SRR30887178,SRX26291418,"Caucasus: Krasnodar Krai & Adygea, 31.08.2008, Shvedchikova N. (MW0730798)",Russia_other,Russia,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium giraudiasii,SAMN34240298,SRR25265702,SRX21011515,"Spain, Zaragoza, 08.19.1981, J.H.A. Boerboom 81036 (WAG.1322715)",Outside_target_region,Spain: Zaragoza,linked_runinfo,outside_scope,exact,low
Cirsium glabrifolium,SAMN34240299,SRR25265701,SRX21011516,"China, Xinjiang Uygur Autonomous Region, 08.28.1957, Guan Kejian 3833 (PE) (PE 00455583)",China,China: Xinjiang Uygur Autonomous Region,linked_runinfo,core_east_asia,different_submitted_or_published_name,high
Cirsium glabrum,SAMN34240300,SRR25265700,SRX21011517,"Spain, Huesca, 10.08.1992 (JACA333092)",Outside_target_region,Spain: Huesca,linked_runinfo,outside_scope,exact,low
Cirsium grahamii,SAMN44017852,SRR30887184,SRX26291419,"U.S.A.: New Mexico, 23.08.2002, E Bennett 185 (ARIZ)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium grecescui,SAMN44017853,SRR30887177,SRX26291420,Hungary: Coll. Degen 3117 (MW0794309),Other_or_unresolved,Hungary,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium griffithii,SAMN44017969,SRR30887207,SRX26291389,"Afghanistan, Baghlan, 08.07.1965, Podlech D. 11677 (W0154060)",Outside_target_region,Afghanistan,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium gyojanum,SAMN34240301,SRR25265698,SRX21011518,"Japan, Shikoku, 10.25.2003, N. Inagaki, M. Matsumoto et al., FOK-062751 (MBK-0074805)",Japan,Japan: Shikoku,linked_runinfo,core_east_asia,exact,low
