tree_code,biosample,run,experiment,voucher_and_herbarium,region_class,geographic_location,sra_link_status,scope_class,tree_code_vs_sra_name,name_reconciliation_priority
Cirsium pubigerum var. spinosum,SAMN34240307,SRR25265692,SRX21011525,"Turkey: Hakkari, 40 km from Şemdinli to Derecik, 1722 m, 03.08.2018, Dirmenci & Yıldız, TD-5134",Outside_target_region,Turkey: Hakkari,linked_runinfo,outside_scope,exact,low
Cirsium ishidatense,SAMN44017861,SRR30887255,SRX26291344,"Japan. SHIKOKU: Ehime Pref.; Onogahara, Nomuracho, Seiyo-shi., 132°52′13″;33°28′28.28″, m, 26 Oct. 2016, Katsuya Nakahira & Yuki Tanabe FOS-011347 (MBK-0284717)",Japan,Japan: SHIKOKU,linked_runinfo,core_east_asia,different_submitted_or_published_name,high
Cirsium ishizuchiense,SAMN34240308,SRR25265691,SRX21011526,"Japan, Shikoku, 09.23.2004, A. Sakamoto and S. Kobayashi FOK-068791 (MBK-0093446)",Japan,Japan: Shikoku,linked_runinfo,core_east_asia,exact,low
Cirsium italicum 1,SAMN44017862,SRR30887254,SRX26291345,"Turkey:Çanakkale: Gökçeada, 2 km from Gökçeada to Aydıncık village, 300 m, 18.08.2018, Dirmenci, TD-5168",Outside_target_region,Turkey,linked_runinfo,outside_scope,exact,low
Cirsium italicum 2,SAMN44017972,SRR30887204,SRX26291393,"Turkey: Tekirdağ, Saray, 1 km from Göngörmez village to Kıyıköy, 221 m, 29.08.2017 Dirmenci, TD-4932",Outside_target_region,Turkey,linked_runinfo,outside_scope,exact,low
Cirsium japonicum,SAMN44017885,SRR30887271,SRX26291327,"SHIKOKU: Kochi Pref.; Mt. Kobiso-yama, Otoyo-cho, Nagaoka-gun., 133°52′;33°48′, 1500 m, 12 July 2004, N. Inagaki et al.FOK-067566 (MBK-0087486)",Japan,Japan,linked_runinfo,core_east_asia,exact,low
Cirsium joannae,SAMN44017864,SRR30887253,SRX26291346,"U.S.A.: Utah, 14.08.2002, N Atwood et al., 28867 (BRY)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium kamtschaticum,SAMN44017865,SRR30887251,SRX26291347,"Siberia: Chukotka & Kamchatka, 06.08.2017, Ivanova M., Tikhomirov N., Kopylov-Guskov Y., Volkova P. (MW0162816)",Russian_Far_East,Russia,linked_runinfo,northeast_asia_bridge,exact,low
Cirsium karduchorum,SAMN34240309,SRR25265690,SRX21011527,"Turkey: Hakkari, 09.05.2007, Dirmenci, TD-3579",Outside_target_region,Turkey: Hakkari,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium kasaianum,SAMN44017866,SRR30887250,SRX26291348,"Japan. Honshu: Miyagi Pre.; Mt. Otate-yama, Nagahata, Takatate Kawakami, Natori-shi, 71 m. Yuki Ueno & Kazumi Fujikawa 210039, 27-09-2021 (210039)",Japan,Japan: Honshu,linked_runinfo,core_east_asia,exact,low
Cirsium kiotoense,SAMN44017868,SRR30887252,SRX26291350,"Japan. Honshu: Kyoto Pref., Kameoka-shi, Shino-cho, Karato-goe., , 260 m, 15 Nov. 2007, T. Sawada, S. Yamamoto & T. Kakizaki994 (MBK-0217212)",Japan,Japan: Honshu,linked_runinfo,core_east_asia,different_submitted_or_published_name,high
Cirsium kirbense,SAMN44017869,SRR30887248,SRX26291351,MA-01-00132626,Other_or_unresolved,Unknown,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium kosmelii,SAMN44017870,SRR30887246,SRX26291353,"Turkey: Ardahan: Between Şavşat and Ardahan, Çamlıbel pass, 2415 m, 30.08.2018, Dirmenci & Arabacı, TD-5191",Outside_target_region,Turkey,linked_runinfo,outside_scope,generic_reassignment_only,medium
Cirsium laniflorum,SAMN44017871,SRR30887245,SRX26291354,"Crimea: Balaklava district, 07.29.2014, Seregin A, Evseenkov P., T-2087 (MW0629557)",Russia_other,Russia,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium lappoides,SAMN44017985,SRR30887272,SRX26291326,MA-01-00132851,Other_or_unresolved,Unknown,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium latifolium 2,SAMN44017974,SRR30887202,SRX26291395,Madeira,Other_or_unresolved,Portugal: Madeira,linked_runinfo,outside_scope,exact,low
Cirsium latifolium 3,SAMN44017975,SRR30887201,SRX26291396,Madeira,Other_or_unresolved,Portugal: Madeira,linked_runinfo,outside_scope,exact,low
Cirsium latifolium 4,SAMN44017976,SRR30887200,SRX26291397,"Madeira, Santana, Caldeiro Verde, 32º46'54,6''N 16º55'42,4''W, 908, 13/06/2010, L. Barres, R. Vilatersana, J.A. Carvalho B139 (BC873365)",Other_or_unresolved,Portugal: Madeira,linked_runinfo,outside_scope,exact,low
Cirsium lecontei,SAMN44017872,SRR30887243,SRX26291355,"U.S.A.: South Carolina, 26.08.2006, J Nelson 26077 (USCH)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium leo,SAMN34240310,SRR25265689,SRX21011528,"China, Henan Province, 09.06.1983, Plant Resource Expedition Team L0427 (PE) (PE 00456166 )",China,China: Henan Province,linked_runinfo,core_east_asia,exact,low
Cirsium leucocephalum,SAMN44017873,SRR30887242,SRX26291356,"Turkey: Malatya: 19 km from Çelikhan to Malatya, 1878 m, 02.09.2018, Dirmenci & Arabacı, TD-5204",Outside_target_region,Turkey,linked_runinfo,outside_scope,exact,low
Cirsium leucopsis,SAMN44017875,SRR30887244,SRX26291358,"Turkey: A2 Bursa: Uludağ, around otels, 1900-2000 m, 09.09.2009, Yıldız & Arabacı, BY-17124, Yıldız & Arabacı",Outside_target_region,Turkey,linked_runinfo,outside_scope,exact,low
