tree_code,biosample,run,experiment,voucher_and_herbarium,region_class,geographic_location,sra_link_status,scope_class,tree_code_vs_sra_name,name_reconciliation_priority
Cirsium validum,SAMN44017946,SRR30887233,SRX26291364,"U.S.A.: California, 30.06.2001, D Keil 29634F (OBI)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium verutum,SAMN44017947,SRR30887232,SRX26291365,"Japan: 16.05.2001, K. Yonekura 6788 (PE01523822)",Japan,Japan,linked_runinfo,core_east_asia,different_submitted_or_published_name,high
Cirsium vinaceum,SAMN44017948,SRR30887231,SRX26291366,"U.S.A.: New Mexico, 07.07.2006, R Gutierrez 1171 (ASU)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium vlassovianum,SAMN34240350,SRR25265666,SRX21011551,"Mongolia, Western spurs of Bolshaya Khingan, 08.08.1991, A. Gubanov, Sh. Dariimaa 61152 (MW0194150)",Mongolia,Mongolia: Western spurs of Bolshaya Khingan,linked_runinfo,northeast_asia_bridge,exact,low
Cirsium vulgare 3,SAMN34240351,SRR25265665,SRX21011552,"U.S.A., Wyoming, 08.07.2016, J Ackerfield 16-112 (CS)",Outside_target_region,USA: Wyoming,linked_runinfo,outside_scope,exact,low
Cirsium vulgare 2,SAMN34240352,SRR25265663,SRX21011554,"Spain, Barcelona, 05.26.2017, T. Garnatje GR524 (Projecte Mil Flors) (BC971454)",Outside_target_region,Spain: Barcelona,linked_runinfo,outside_scope,exact,low
Cirsium vulgare 1,SAMN34240353,SRR25265662,SRX21011555,"Spain, Girona, 08.15.2020, M. Galbany Casals GC-2738 (GC2738)",Outside_target_region,Spain: Girona,linked_runinfo,outside_scope,exact,low
Cirsium vulgare 4,SAMN34240354,SRR25265661,SRX21011556,"Kenia, Nyanyuki, 11.29.2017, G. Talavera & E. Plana RVcoll17H041",Outside_target_region,Kenya: Nyanyuki,linked_runinfo,outside_scope,exact,low
Cirsium vulgare 5,SAMN34240355,SRR25265639,SRX21011557,"Ethiopia, Addis Ababa, 2018, M. Mencherri & T. Suchan GTcoll19P125",Outside_target_region,Ethiopia: Addis Ababa,linked_runinfo,outside_scope,exact,low
Cirsium waldsteinii,SAMN44017949,SRR30887230,SRX26291367,"Ukraine, 03.08.1962, anonymous (MW0416617)",Outside_target_region,Ukraine,linked_runinfo,outside_scope,exact,low
Cirsium wallichii,SAMN44017981,SRR30887193,SRX26291403,"Pakistan. Azad Kashmir. Kashmir, 28.08.1986, Rechinger K. H. Iter indo-himalayense 62224 (W0154072)",Outside_target_region,Pakistan: Azad Kashmir. Kashmir,linked_runinfo,outside_scope,exact,low
Cirsium wheeleri,SAMN44017950,SRR30887228,SRX26291369,"U.S.A.: New Mexico, 15.08.2010, R Sivinski et al., 7733 (UNM)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium wrightii,SAMN44017951,SRR30887227,SRX26291370,"U.S.A.: New Mexico, 05.09.2006, R Sivinski 6132 (UNM)",Outside_target_region,USA,linked_runinfo,outside_scope,exact,low
Cirsium yezoense,SAMN44017952,SRR30887226,SRX26291371,"Japan. Honshu: Fukushima Pref., Iwaki-shi, Miwa-machi, Kumakura., , ca. 400 m, 17 Sep. 2009, Y. Yuzawa24070 (MBK-0219925)",Japan,Japan: Honshu,linked_runinfo,core_east_asia,exact,low
Cirsium yildizianum,SAMN44017953,SRR30887225,SRX26291372,"Turkey: Muş, 4-5 km from Muş to Bingöl, 1350 m, 27.08.2010, Yıldız & Dirmenci, BY-17213",Outside_target_region,Turkey,linked_runinfo,outside_scope,different_submitted_or_published_name,high
Cirsium nipponicum var. yoshinoi,SAMN44017955,SRR30887222,SRX26291374,"Japan. Shikoku: Kochi Pref.; Kashigatou (pass), Nakaoi, Ino-cho, Agawa-gun, 705 m. Yuki Ueno & Kazumi Fujikawa 210089, 12-10-2021",Japan,Japan: Honshu,linked_runinfo,core_east_asia,different_submitted_or_published_name,high
Cirsium yuki-uenoanum,SAMN44017949,SRR30887230,SRX26291367,"Japan. Honshu: Miyagi Pre.; Mt. JiroTaro-yama, Kawatajima, Marumori-cho, Igu-gun, 285 m. Yuki Ueno & Kazumi Fujikawa 210073, 29-09-2021",Japan|Outside_target_region,Ukraine,linked_runinfo,source_conflict_target_vs_outside,different_submitted_or_published_name,high
